smiles,property_name,property_value,property_unit,label_source
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1,O2 Permeability Barrer,3900.0,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1,Co2 Permeability Barrer,11399.99999,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1,H2 Permeability Barrer,7699.999997,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1,O2 Permeability Barrer,3900.0,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)CCC2)c1ccc([Si](C)(C)C)cc1,Co2 Permeability Barrer,390.0,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)CCC2)c1ccc([Si](C)(C)C)cc1,H2 Permeability Barrer,360.0000002,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)CCC2)c1ccc([Si](C)(C)C)cc1,O2 Permeability Barrer,85.99999995,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)CCC2)c1ccc([Si](C)(C)C)cc1,Co2 Permeability Barrer,390.0,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)CCC2)c1ccc([Si](C)(C)C)cc1,H2 Permeability Barrer,360.0000002,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)CCC2)c1ccc([Si](C)(C)C)cc1,O2 Permeability Barrer,85.99999995,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)Cc1ccccc1-2)c1ccc([Si](C)(C)C)cc1,Co2 Permeability Barrer,6450.000005,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)Cc1ccccc1-2)c1ccc([Si](C)(C)C)cc1,H2 Permeability Barrer,3100.000001,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)Cc1ccccc1-2)c1ccc([Si](C)(C)C)cc1,O2 Permeability Barrer,1649.999999,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)Cc1ccccc1-2)c1ccc([Si](C)(C)C)cc1,Co2 Permeability Barrer,6450.000005,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)Cc1ccccc1-2)c1ccc([Si](C)(C)C)cc1,H2 Permeability Barrer,3100.000001,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)Cc1ccccc1-2)c1ccc([Si](C)(C)C)cc1,O2 Permeability Barrer,1649.999999,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)Cc1ccccc1-2)c1ccccc1,Co2 Permeability Barrer,8500.000006,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)Cc1ccccc1-2)c1ccccc1,H2 Permeability Barrer,3649.999996,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)Cc1ccccc1-2)c1ccccc1,O2 Permeability Barrer,2150.0,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)Cc1ccccc1-2)c1ccccc1,Co2 Permeability Barrer,8500.000006,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)Cc1ccccc1-2)c1ccccc1,H2 Permeability Barrer,3649.999996,Barrer,sim
